Agency,Program Model,Division,Site Name,Address,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location
A Safe Haven Foundation,Interim Housing,Homeless Services,South-Thelmas,8040 S WESTERN ,8040,S,WESTERN,,,Chicago,IL,60620,7734892199,,18,ASHBURN,70,1161738.572746,1851085.2290044,41.7470455,-87.6829234,"(41.7470455, -87.6829234)"
A Safe Haven Foundation,Interim Housing,Homeless Services,TAB West,801 S SPRINGFIELD ,801,S,SPRINGFIELD,,,Chicago,IL,60624,3123726707,,24,WEST GARFIELD PARK,26,1150553.4034766,1896074.9554076,41.8707285,-87.7227381,"(41.8707285, -87.7227381)"
A Safe Haven Foundation,Low Threshold Youth Overnight Shelter,Homeless Services,Youth Engagement Program,2750 W ROOSEVELT ,2750,W,ROOSEVELT,,,Chicago,IL,60608,7734358300,,28,NORTH LAWNDALE,29,1157979.1583299,1894633.6042004,41.8666251,-87.6955148,"(41.8666251, -87.6955148)"
A Safe Haven Foundation,Shelter Plus Care,Homeless Services,Shelter Plus Care,2750 W ROOSEVELT RD,2750,W,ROOSEVELT,RD,,Chicago,IL,60608,3126984607,,28,NORTH LAWNDALE,29,1157979.1583299,1894633.6042004,41.8666251,-87.6955148,"(41.8666251, -87.6955148)"
AIDS Legal Council of Chicago,Specialized Services:  SSI/SSDI,Homeless Services,SSI Homeless Outreach Project,180 N MICHIGAN AVENUE,180,N,MICHIGAN,AVENUE,,Chicago,IL,60601,3124278990,,42,LOOP,32,1177229.5435652,1901573.2781906,41.8852538,-87.6246347,"(41.8852538, -87.6246347)"
"Beacon Therapeutic  School, Inc. dba Beacon Therapeutic Diagnostic and Treatment Center, Inc.",Clinical Services,Homeless Services,Shelter Outreach Services,11740 S WESTERN AVE,11740,S,WESTERN,AVE,,Chicago,IL,60643,7732333821,,19,MORGAN PARK,75,1162470.5722177,1826550.9982843,41.6797043,-87.6809224,"(41.6797043, -87.6809224)"
"Beacon Therapeutic  School, Inc. dba Beacon Therapeutic Diagnostic and Treatment Center, Inc.",FUSE-Families,Homeless Services,Frequent Users Service Engagement Initiative-Families,11740 S WESTERN AVE,11740,S,WESTERN,AVE,,Chicago,IL,60643,7732333821,,19,MORGAN PARK,75,1162470.5722177,1826550.9982843,41.6797043,-87.6809224,"(41.6797043, -87.6809224)"
Board of Trustees of the University of Illinois,Plan to End Homelessness,Homeless Services,Voorhees Center,400 S PEORIA ,400,S,PEORIA,,#2100 ADH (MC 345),Chicago,IL,60607,3129965083,,25,NEAR WEST SIDE,28,1170433.9110153,1898362.6401252,41.8765948,-87.6496832,"(41.8765948, -87.6496832)"
Breakthrough Urban Ministries,Interim Housing,Homeless Services,Men's Services,402 S ST LOUIS ,402,S,ST LOUIS,,,Chicago,IL,60624,3123461713,,28,EAST GARFIELD PARK,27,1153165.1016381,1897762.4974598,41.8753079,-87.7131048,"(41.8753079, -87.7131048)"
Breakthrough Urban Ministries,Interim Housing,Homeless Services,Women's Services,3330 W CARROLL ,3330,W,CARROLL,,,Chicago,IL,60624,3123461713,,28,EAST GARFIELD PARK,27,1153958.7305814,1902241.6539485,41.8875834,-87.7100715,"(41.8875834, -87.7100715)"
Casa Central Social Services Corporation,Interim Housing,Homeless Services,La Posada,1322 N KEDZIE ,1322,N,KEDZIE,,,Chicago,IL,60651,7737828843,,26,HUMBOLDT PARK,23,1154741.960493,1908760.1422476,41.9054551,-87.7070205,"(41.9054551, -87.7070205)"
Catholic Charities of the Archdiocese of Chicago,Interim Housing,Homeless Services,Madonna House,1114 W GRACE ,1114,W,GRACE,,,Chicago,IL,60613,3126557554,,44,LAKE VIEW,6,1168047.9300156,1925525.1803934,41.9511823,-87.657658,"(41.9511823, -87.657658)"
Catholic Charities of the Archdiocese of Chicago,Interim Housing,Homeless Services,Our Lady of Solace,6212 S SANGAMON ,6212,S,SANGAMON,,,Chicago,IL,60621,3126657719,,16,ENGLEWOOD,68,1171004.1288575,1863534.8781202,41.7810117,-87.6486088,"(41.7810117, -87.6486088)"
Catholic Charities of the Archdiocese of Chicago,Interim Housing,Homeless Services,St. Francis de Paula,7811 S ELLIS ,7811,S,ELLIS,,,Chicago,IL,60619,3126557719,,8,GREATER GRAND CROSSING,69,1184288.1805067,1853359.8242882,41.7527898,-87.6002251,"(41.7527898, -87.6002251)"
Catholic Charities of the Archdiocese of Chicago,Mobile Outreach Human Services,Homeless Services,Chicago Mobile Outreach Human Services,10 S KEDZIE ,10,S,KEDZIE,,,Chicago,IL,60612,3126557717,,28,EAST GARFIELD PARK,27,1155015.0061331,1899723.8403174,41.8806532,-87.7062601,"(41.8806532, -87.7062601)"
Catholic Charities of the Archdiocese of Chicago,Mobile Outreach Human Services,Homeless Services,Chicago Mobile Outreach Human Services,10 S KEDZIE ,10,S,KEDZIE,,,Chicago,IL,60612,3126557717,,28,EAST GARFIELD PARK,27,1155015.0061331,1899723.8403174,41.8806532,-87.7062601,"(41.8806532, -87.7062601)"
Catholic Charities of the Archdiocese of Chicago,Permanent Supportive Housing,Homeless Services,Streets to Home Initiative,416 E 43RD ST.,416,E,43RD,ST.,,Chicago,IL,60653,3126557554,,3,GRAND BOULEVARD,38,1179827.1574567,1876633.744758,41.8167588,-87.6158611,"(41.8167588, -87.6158611)"
Catholic Charities of the Archdiocese of Chicago,Shelter Plus Care,Homeless Services,St Leo Residence-Shelter Plus Care,721 N LA SALLE ,721,N,LA SALLE,,,Chicago,IL,60654,3126557235,,2,NEAR NORTH SIDE,8,1175045.305944,1905316.6720378,41.8955751,-87.6325433,"(41.8955751, -87.6325433)"
Center For Changing Lives,Homelessness Prevention,Homeless Services,Prevention,1955 N ST LOUIS AVE,1955,N,ST LOUIS,AVE,,Chicago,IL,60647,7733421751,,26,LOGAN SQUARE,22,1152978.3561144,1913014.5330732,41.9171647,-87.7133858,"(41.9171647, -87.7133858)"
Center for Housing and Health,Outreach and Engagement Coordinator,Homeless Services,Homeless Outreach Coordination Program,200 W JACKSON BLVD,200,W,JACKSON,BLVD,,Chicago,IL,60606,3123340919,,42,LOOP,32,1174753.3810521,1898992.496419,41.8782277,-87.6338048,"(41.8782277, -87.6338048)"
Center for Housing and Health,Permanent Supportive Housing,Homeless Services,Homeward Bound,200 W JACKSON ,200,W,JACKSON,,Suite 2100,Chicago,IL,60606,3123340919,,42,LOOP,32,1174753.3810521,1898992.496419,41.8782277,-87.6338048,"(41.8782277, -87.6338048)"
Chicago Alliance to End Homelessness,Plan to End Homelessness,Homeless Services,Plan to End Homelessness: NOFA,651 W WASHINGTON ST,651,W,WASHINGTON,ST,,Chicago,IL,60661,3123790301,28,42,NEAR WEST SIDE,28,1171775.2542759,1900726.8186039,41.8830529,-87.6446886,"(41.8830529, -87.6446886)"
Chicago House & Social Services Agency,Shelter Plus Care,Homeless Services,Residence for Families with HIV/AIDS,1925 N CLYBOURN AVE,1925,N,CLYBOURN,AVE,Suite 401,Chicago,IL,60614,7738882076,,43,LINCOLN PARK,7,1168469.8598491,1912729.2101317,41.9160604,-87.6564784,"(41.9160604, -87.6564784)"
Christian Community Health Center dba Christian Community Health Center,Interim Housing,Homeless Services,Amani House,8025 S HONORE ,8025,S,HONORE,,,Chicago,IL,60620,7732982070,,17,AUBURN GRESHAM,71,1165457.486296,1851348.4137476,41.7476898,-87.6692888,"(41.7476898, -87.6692888)"
Christian Community Health Center dba Christian Community Health Center,Shelter Plus Care,Homeless Services,The Genesis Project,1550 W 88TH ST,1550,W,88TH,ST,,Chicago,IL,60620,7732338524,3159,21,AUBURN GRESHAM,71,1167298.841098,1846405.5338537,41.7340866,-87.6626827,"(41.7340866, -87.6626827)"
Christian Community Health Center dba Christian Community Health Center,Specialized Outreach and Engagement Services,Homeless Services,Footprints,1701 W MONTERREY AVE,1701,W,MONTERREY,AVE,,Chicago,IL,60643,7732982050,,19,MORGAN PARK,75,1166850.8146003,1830336.27861,41.6899996,-87.6647811,"(41.6899996, -87.6647811)"
Cornerstone Community Outreach,Interim Housing,Homeless Services,Hannah Interim,4628 N CLIFTON ,4628,N,CLIFTON,,,Chicago,IL,60640,7732718163,,46,UPTOWN,3,1167636.7699797,1930996.9975136,41.966206,-87.6590111,"(41.966206, -87.6590111)"
Cornerstone Community Outreach,Interim Housing,Homeless Services,Naomi Interim,4615 N CLIFTON ,4615,N,CLIFTON,,,Chicago,IL,60640,7735066396,,46,UPTOWN,3,1167717.7448025,1930885.1127304,41.9658973,-87.6587166,"(41.9658973, -87.6587166)"
Cornerstone Community Outreach,Interim Housing,Homeless Services,Sylvia Interim,4628 N CLIFTON ,4628,N,CLIFTON,,,Chicago,IL,60640,7735758147,,46,UPTOWN,3,1167636.7699797,1930996.9975136,41.966206,-87.6590111,"(41.966206, -87.6590111)"
Corporation for Supportive,System Coordinator,Homeless Services,Corporation for Supportive Housing,205 W RANDOLPH ,205,W,RANDOLPH,,23rd Floor,Chicago,IL,60606,3123326690,,42,LOOP,32,1174660.2536086,1901226.196275,41.8843592,-87.6340799,"(41.8843592, -87.6340799)"
Corporation for Supportive,Technical Assistance and Training,Homeless Services,Corporation for Supportive Housing,205 W RANDOLPH ,205,W,RANDOLPH,,23rd Floor,Chicago,IL,60606,3123326690,,42,LOOP,32,1174660.2536086,1901226.196275,41.8843592,-87.6340799,"(41.8843592, -87.6340799)"
Deborah's Place,Interim Housing,Homeless Services,Teresa's Interim,1532 N SEDGWICK ,1532,N,SEDGWICK,,,Chicago,IL,60610,7733489011,,2,NEAR NORTH SIDE,8,1173322.660238,1910645.526512,41.9102362,-87.6387116,"(41.9102362, -87.6387116)"
Deborah's Place,Permanent Supportive Housing,Homeless Services,Marah's Supportive Housing Program,1456 W OAKDALE AVE.,1456,W,OAKDALE,AVE.,,Chicago,IL,60657,7733489011,X21,32,LAKE VIEW,6,1165854.4564545,1919713.9832088,41.9352832,-87.6658874,"(41.9352832, -87.6658874)"
Deborah's Place,Permanent Supportive Housing,Homeless Services,Patty Crowley Apartments,1530 N SEDGWICK AVE.,1530,N,SEDGWICK,AVE.,,Chicago,IL,60610,7733489011,X21,2,NEAR NORTH SIDE,8,1173323.3217362,1910624.1632699,41.9101775,-87.6387098,"(41.9101775, -87.6387098)"
Deborah's Place,Safe Havens Program,Homeless Services,Dolores' Safe Haven Program,1532 N SEDGWICK AVE.,1532,N,SEDGWICK,AVE.,,Chicago,IL,60610,7733489011,X21,2,NEAR NORTH SIDE,8,1173322.660238,1910645.526512,41.9102362,-87.6387116,"(41.9102362, -87.6387116)"
Emergency Fund,Homeless Prevention,Homeless Services,Emergency Fund-Homeless Prevention,651 W WASHINGTON ,651,W,WASHINGTON,,Suite 504,Chicago,IL,60661,3123790301,28,42,NEAR WEST SIDE,28,1171775.2542759,1900726.8186039,41.8830529,-87.6446886,"(41.8830529, -87.6446886)"
Emergency Fund,Rapid Re-housing Program,Homeless Services,Emergency Fund-Rapid Rehousing Program,651 W WASHINGTON ,651,W,WASHINGTON,,Suite 504,Chicago,IL,60661,3123790301,28,42,NEAR WEST SIDE,28,1171775.2542759,1900726.8186039,41.8830529,-87.6446886,"(41.8830529, -87.6446886)"
Facing Forward to End Homelessness,Permanent Supportive Housing,Homeless Services,Permanent Supportive  Housing,642 N KEDZIE AVE.,642,N,KEDZIE,AVE.,,Chicago,IL,60612,7732651207,X223,27,HUMBOLDT PARK,23,1154880.6034663,1904286.6392883,41.8931766,-87.7066312,"(41.8931766, -87.7066312)"
Facing Forward to End Homelessness,Shelter Plus Care,Homeless Services,Shelter Graduates,642 N KEDZIE ,642,N,KEDZIE,,,Chicago,IL,60612,7732651207,222,27,HUMBOLDT PARK,23,1154880.6034663,1904286.6392883,41.8931766,-87.7066312,"(41.8931766, -87.7066312)"
Featherfist,Basic Street Outreach,Homeless Services,Aggressive Mobile Outreach,2255 E 75TH ST,2255,E,75TH,ST,,Chicago,IL,60649,7737217088,245,7,SOUTH SHORE,43,1192779.0982705,1855641.8897095,41.7588492,-87.5690356,"(41.7588492, -87.5690356)"
Featherfist,Interim Housing,Homeless Services,Hope Village,7852 S ESSEX ,7852,S,ESSEX,,,Chicago,IL,60649,7737217088,245,7,SOUTH SHORE,43,1194186.8815002,1853166.3806996,41.7520218,-87.5639574,"(41.7520218, -87.5639574)"
Featherfist,Shelter Plus Care,Homeless Services,Featherfist-Featherfist Apts.,6210 S KIMBARK ,6210,S,KIMBARK,,,Chicago,IL,60637,7737217088,223,20,WOODLAWN,42,1185670.5660003,1864010.1223159,41.7819828,-87.5948242,"(41.7819828, -87.5948242)"
Franciscan Outreach Assoc,Community Hospitality Center (Drop-In Centers),Homeless Services,Westside Day Program,10 S KEDZIE AVE,10,S,KEDZIE,AVE,,Chicago,IL,60612,7732786724,19,28,EAST GARFIELD PARK,27,1155015.0061331,1899723.8403174,41.8806532,-87.7062601,"(41.8806532, -87.7062601)"
Franciscan Outreach Assoc,Emergency Shelter,Homeless Services,Franciscan Outreach Assoc,2715 W HARRISON ST,2715,W,HARRISON,ST,,Chicago,IL,60612,7732656683,,28,EAST GARFIELD PARK,27,1158284.6042976,1897213.7256674,41.873699,-87.694323,"(41.873699, -87.694323)"
Franciscan Outreach Assoc,Emergency Shelter,Homeless Services,Franciscan Outreach Assoc,2715 W HARRISON ST,2715,W,HARRISON,ST,,Chicago,IL,60612,7732656683,,28,EAST GARFIELD PARK,27,1158284.6042976,1897213.7256674,41.873699,-87.694323,"(41.873699, -87.694323)"
Franciscan Outreach Assoc,Permanent Supportive Housing,Homeless Services,Street to Home,1645 N LEMOYNE AVE,1645,N,LEMOYNE,AVE,,Chicago,IL,60622,7732787120,,37,AUSTIN,25,1143280.4038091,1910684.48539,41.9109577,-87.7490749,"(41.9109577, -87.7490749)"
Good News Partners,Interim Housing,Homeless Services,New Life Interim Housing,7632-34 N PAULINA ,,N,PAULINA,,,Chicago,IL,60626,7737433859,,49,ROGERS PARK,1,1163617.3805017,1950702.8239093,42.0203652,-87.6732312,"(42.0203652, -87.6732312)"
Heartland Health Outreach,Shelter Plus Care,Homeless Services,Shelter Plus Care II,4750 N SHERIDAN ,4750,N,SHERIDAN,,,Chicago,IL,60640,7733347117,1006,46,UPTOWN,3,1168730.2766929,1931933.6680382,41.9687526,-87.6549633,"(41.9687526, -87.6549633)"
Heartland Housing,Shelter Plus Care,Homeless Services,Shelter Plus Care,208 S LA SALLE ,208,S,LA SALLE,,1818,Chicago,IL,60608,3126601338,,42,LOOP,32,1175125.0384255,1899317.0360139,41.8791099,-87.6324304,"(41.8791099, -87.6324304)"
Heartland Human Care Services Inc,Homelessness Prevention,Homeless Services,Homeless Prevention (HP) Program,4411 N RAVENSWOOD AVE,4411,N,RAVENSWOOD,AVE,,Chicago,IL,60613,773 7514025,,47,UPTOWN,3,1163615.9655836,1929397.1113795,41.9619017,-87.6738402,"(41.9619017, -87.6738402)"
Heartland Human Care Services Inc,Permanent Housing with Short-term Supports,Homeless Services,Families Building Community,4411 N RAVENSWOOD ,4411,N,RAVENSWOOD,,,Chicago,IL,60640,7733366002,,47,UPTOWN,3,1163615.9655836,1929397.1113795,41.9619017,-87.6738402,"(41.9619017, -87.6738402)"
Heartland Human Care Services Inc,Shelter Plus Care,Homeless Services,Rafael Center,4750 N SHERIDAN ,4750,N,SHERIDAN,,,Chicago,IL,60640,7733366002,,46,UPTOWN,3,1168730.2766929,1931933.6680382,41.9687526,-87.6549633,"(41.9687526, -87.6549633)"
Holy Rock Outreach Ministries,Interim Housing,Homeless Services,Helping Arms,5847-5849 S MORGAN ,,S,MORGAN,,,Chicago,IL,60621,7734346500,,16,ENGLEWOOD,68,1170690.2047253,1865843.3767907,41.7873534,-87.6496924,"(41.7873534, -87.6496924)"
Housing Opportunities for Women,Permanent Housing with Short-term Supports,Homeless Services,Family Two,1607 W HOWARD ST.,1607,W,HOWARD,ST.,,Chicago,IL,60626,7734655770,X222,49,ROGERS PARK,1,1164042.589652,1950305.4274657,42.0192658,-87.6716777,"(42.0192658, -87.6716777)"
Housing Opportunities for Women,Permanent Supportive Housing,Homeless Services,South Side Supportive Services,1607 W HOWARD ST.,1607,W,HOWARD,ST.,,Chicago,IL,60626,7734655770,X229,49,ROGERS PARK,1,1164042.589652,1950305.4274657,42.0192658,-87.6716777,"(42.0192658, -87.6716777)"
Housing Opportunities for Women,Shelter Plus Care,Homeless Services,Shelter Plus Care I,1607 W HOWARD ,1607,W,HOWARD,,,Chicago,IL,60626,7734655770,280,49,ROGERS PARK,1,1164042.589652,1950305.4274657,42.0192658,-87.6716777,"(42.0192658, -87.6716777)"
Housing Opportunities for Women,Shelter Plus Care,Homeless Services,Shelter Plus Care II,1607 W HOWARD ,1607,W,HOWARD,,,Chicago,IL,60626,7734655770,250,49,ROGERS PARK,1,1164042.589652,1950305.4274657,42.0192658,-87.6716777,"(42.0192658, -87.6716777)"
Housing Opportunities for Women,Shelter Plus Care,Homeless Services,Shelter Plus Care III,1607 W HOWARD ,1607,W,HOWARD,,,Chicago,IL,60626,7734655770,250,49,ROGERS PARK,1,1164042.589652,1950305.4274657,42.0192658,-87.6716777,"(42.0192658, -87.6716777)"
Housing Opportunities for Women,Shelter Plus Care,Homeless Services,Shelter Plus Care IV,1607 W HOWARD ,1607,W,HOWARD,,,Chicago,IL,60626,7734655770,250,49,ROGERS PARK,1,1164042.589652,1950305.4274657,42.0192658,-87.6716777,"(42.0192658, -87.6716777)"
Housing Opportunities for Women,Shelter Plus Care,Homeless Services,SHelter Plus Care V,1607 W HOWARD ,1607,W,HOWARD,,,Chicago,IL,60626,7734655770,205,49,ROGERS PARK,1,1164042.589652,1950305.4274657,42.0192658,-87.6716777,"(42.0192658, -87.6716777)"
Housing Opportunities for Women,Shelter Plus Care,Homeless Services,Shelter Plus Care VII,1607 W HOWARD ,1607,W,HOWARD,,,Chicago,IL,60626,7734655770,280,49,ROGERS PARK,1,1164042.589652,1950305.4274657,42.0192658,-87.6716777,"(42.0192658, -87.6716777)"
Howard Brown Health Center,Homeless Youth Engagement: Youth Drop-In Centers,Homeless Services,Broadway Youth Center Homeless Youth Drop-In Program,615 W WELLINGTON AVE,615,W,WELLINGTON,AVE,,Chicago,IL,60657,7732997622,,44,LAKE VIEW,6,1171569.8023488,1920159.5084223,41.9363817,-87.6448703,"(41.9363817, -87.6448703)"
Howard Brown Health Center,Youth Drop-In Center,Homeless Services,Broadway Youth Center Homeless Youth Drop-In Program,615 W WELLINGTON AVE,615,W,WELLINGTON,AVE,,Chicago,IL,60657,7732997622,,44,LAKE VIEW,6,1171569.8023488,1920159.5084223,41.9363817,-87.6448703,"(41.9363817, -87.6448703)"
Howard Brown Health Center,Youth Drop-In Center,Homeless Services,Broadway Youth Center Homeless Youth Drop-In Program,615 W WELLINGTON AVE,615,W,WELLINGTON,AVE,,Chicago,IL,60657,7732997622,,44,LAKE VIEW,6,1171569.8023488,1920159.5084223,41.9363817,-87.6448703,"(41.9363817, -87.6448703)"
Human Resources Development Institute,Shelter Plus Care,Homeless Services,Shelter Plus Care I,222 S JEFFERSON ,222,S,JEFFERSON,,,Chicago,IL,60661,3124419009,,42,NEAR WEST SIDE,28,1172329.6706161,1899087.4453651,41.8785421,-87.6427012,"(41.8785421, -87.6427012)"
Human Resources Development Institute,Shelter Plus Care,Homeless Services,Shelter Plus Care II,222 S JEFFERSON ,222,S,JEFFERSON,,,Chicago,IL,60661,3124419009,,42,NEAR WEST SIDE,28,1172329.6706161,1899087.4453651,41.8785421,-87.6427012,"(41.8785421, -87.6427012)"
Inspiration Corporation,Basic Street Outreach,Homeless Services,Wilson Men's Hotel,1124 W WILSON AVE,1124,W,WILSON,AVE,,Chicago,IL,60640,7738780981,208,46,UPTOWN,3,1167783.0703475,1930739.4083616,41.965496,-87.6584807,"(41.965496, -87.6584807)"
Inspiration Corporation,Permanent Supportive Housing,Homeless Services,Permanent Supportive  Housing,806 E 64TH ST.,806,E,64TH,ST.,,Chicago,IL,60637,7738780981,X208,20,WOODLAWN,42,1182756.0798829,1862792.1086716,41.7787086,-87.6055471,"(41.7787086, -87.6055471)"
Inspiration Corporation,Shelter Plus Care,Homeless Services,Shelter Plus Care,4554 N BROADWAY ,4554,N,BROADWAY,,,Chicago,IL,60640,7738780981,208,46,UPTOWN,3,1168076.5905572,1930575.1127595,41.9650388,-87.6574062,"(41.9650388, -87.6574062)"
Institute of Women Today,Interim Housing,Homeless Services,Believe,9519 S COMMERCIAL ,9519,S,COMMERCIAL,,,Chicago,IL,60617,7739945350,,10,SOUTH DEERING,51,1197842.2918238,1842318.7444281,41.7221646,-87.5509236,"(41.7221646, -87.5509236)"
Institute of Women Today,Interim Housing,Homeless Services,Maria Shelter,7320 S YALE ,7320,S,YALE,,,Chicago,IL,60621,7739945350,,6,GREATER GRAND CROSSING,69,1175852.8098099,1856324.6388117,41.7611187,-87.6310485,"(41.7611187, -87.6310485)"
Interfaith House,Interim Housing,Homeless Services,Assessment/Respite,3456 W FRANKLIN ,3456,W,FRANKLIN,,,Chicago,IL,60624,7735336013,224,27,HUMBOLDT PARK,23,1153013.9331648,1903152.7037327,41.8901022,-87.7135169,"(41.8901022, -87.7135169)"
Interfaith Housing Development Corp.,Permanent Supportive Housing,Homeless Services,Independence House,820 S INDEPENDENCE BLVD,820,S,INDEPENDENCE,BLVD,,Chicago,IL,60624,3122748200,X25,24,WEST GARFIELD PARK,26,1151193.9787818,1895831.9833663,41.8700492,-87.7203927,"(41.8700492, -87.7203927)"
Interfaith Housing Development Corp.,Shelter Plus Care,Homeless Services,HOPE II,1111 N WELLS ,1111,N,WELLS,,,Chicago,IL,60610,3122748200,250,27,NEAR NORTH SIDE,8,1174552.7033498,1907813.9228281,41.9024387,-87.6342777,"(41.9024387, -87.6342777)"
Interfaith Housing Development Corp.,Shelter Plus Care,Homeless Services,Sanctuary Place,1111 N WELLS ,1111,N,WELLS,,,Chicago,IL,60610,3122748200,26,27,NEAR NORTH SIDE,8,1174552.7033498,1907813.9228281,41.9024387,-87.6342777,"(41.9024387, -87.6342777)"
La Casa Norte,Homeless Youth Engagement: Youth Drop-In Centers,Homeless Services,Casa Corazon Youth Drop In,3533 W NORTH ,3533,W,NORTH,,,Chicago,IL,60647,7732764900,211,26,HUMBOLDT PARK,23,1152358.0067474,1910361.0886421,41.9098957,-87.7157352,"(41.9098957, -87.7157352)"
La Casa Norte,Homeless Youth Overnight Shelter: Low-Threshold,Homeless Services,Casa Corazon-Emergency Bed Program,3533 W NORTH AVE,3533,W,NORTH,AVE,,Chicago,IL,60647,7732764900,,26,HUMBOLDT PARK,23,1152358.0067474,1910361.0886421,41.9098957,-87.7157352,"(41.9098957, -87.7157352)"
La Casa Norte,Low Threshold Youth Overnight Shelter,Homeless Services,Casa Corazon #1,1736 W 47TH ST,1736,W,47TH,ST,,Chicago,IL,60609,7732764900,211,15,NEW CITY,61,1165407.69367,1873572.5164923,41.8086767,-87.668842,"(41.8086767, -87.668842)"
La Casa Norte,Low Threshold Youth Overnight Shelter,Homeless Services,Casa Corazon #2,1940 N CALIFORNIA AVE,1940,N,CALIFORNIA,AVE,,Chicago,IL,60647,7732764900,211,1,LOGAN SQUARE,22,1157349.3315444,1912945.9069182,41.9168886,-87.6973287,"(41.9168886, -87.6973287)"
La Casa Norte,Low Threshold Youth Overnight Shelter,Homeless Services,Casa Corazon #3,2408 S ALBANY ,2408,S,ALBANY,,,Chicago,IL,60623,7732764900,211,12,SOUTH LAWNDALE,30,1156036.0303608,1887778.5045882,41.8478534,-87.7028331,"(41.8478534, -87.7028331)"
La Casa Norte,Project Based Transitional Housing,Homeless Services,Solid Ground Supportive Housing,3507 W NORTH AVE.,3507,W,NORTH,AVE.,,Chicago,IL,60647,7732764900,X211,26,HUMBOLDT PARK,23,1152641.1153527,1910367.0634428,41.9099065,-87.714695,"(41.9099065, -87.714695)"
KAN-WIN,Permanent Housing with Short-term Supports,Homeless Services,Transitional Housing Program,DV Shelter   ,,,,,,,,,,,,,,,,,,
La Casa Norte,Youth Drop-In Center,Homeless Services,Casa Corazon Youth Drop In,1736 W 47TH AVE,1736,W,47TH,AVE,,Chicago,IL,60609,7732764900,211,15,NEW CITY,61,1165407.69367,1873572.5164923,41.8086767,-87.668842,"(41.8086767, -87.668842)"
La Casa Norte,Youth-Intentional Permanent Supportive Housing,Homeless Services,Youth Scattered Site Supportive Housing,3533 W NORTH AVE,3533,W,NORTH,AVE,,Chicago,IL,60647,7732764900,X211,26,HUMBOLDT PARK,23,1152358.0067474,1910361.0886421,41.9098957,-87.7157352,"(41.9098957, -87.7157352)"
Lawyers' Committee For Better Housing,Homelessness Prevention,Homeless Services,Supportive Services,33 N LA SALLE ST,33,N,LA SALLE,ST,,Chicago,IL,60602,3127843506,,42,LOOP,32,1175165.3525301,1900661.2749115,41.8827977,-87.6322421,"(41.8827977, -87.6322421)"
McDermott Center dba Haymarket Center,Basic Street Outreach,Homeless Services,Uptown Street Outreach,932 W WASHINGTON BLVD,932,W,WASHINGTON,BLVD,,Chicago,IL,60607,7732267984,488,27,NEAR WEST SIDE,28,1170066.2629102,1900764.1187008,41.8831927,-87.650963,"(41.8831927, -87.650963)"
McDermott Center dba Haymarket Center,Clinical Services,Homeless Services,Substance Abuse Treatment,932 W WASHINGTON BLVD,932,W,WASHINGTON,BLVD,,Chicago,IL,60607,7732267984,488,27,NEAR WEST SIDE,28,1170066.2629102,1900764.1187008,41.8831927,-87.650963,"(41.8831927, -87.650963)"
McDermott Center dba Haymarket Center,Clinical Services,Homeless Services,UMISA,932 W WASHINGTON BLVD,932,W,WASHINGTON,BLVD,,Chicago,IL,60607,7732267984,488,27,NEAR WEST SIDE,28,1170066.2629102,1900764.1187008,41.8831927,-87.650963,"(41.8831927, -87.650963)"
McDermott Center dba Haymarket Center,Specialized Outreach and Engagement Services,Homeless Services,O'Hare Airport,10000 N BESSIE COLEMAN DR,10000,N,BESSIE COLEMAN,DR,,Chicago,IL,60666,3122267984,419,41,OHARE,76,1107241.668875,1941130.8832,41.9951043,-87.8808818,"(41.9951043, -87.8808818)"
Mercy Housing Lakefront,Permanent Supportive Housing,Homeless Services,Homeless Service Prg.,120 S LA SALLE ST,120,S,LA SALLE,ST,,Chicago,IL,60603,3128781911,,42,LOOP,32,1175111.6133043,1899771.099586,41.8803562,-87.6324661,"(41.8803562, -87.6324661)"
Mercy Housing Lakefront,Shelter Plus Care,Homeless Services,Englewood,247 S STATE ,247,S,STATE,,,Chicago,IL,60604,3124474532,,42,LOOP,32,1176460.8227359,1899037.443282,41.8783127,-87.6275342,"(41.8783127, -87.6275342)"
Mercy Housing Lakefront,Shelter Plus Care,Homeless Services,Near North,247 S STATE ST,247,S,STATE,ST,,Chicago,IL,60604,3124474532,,42,LOOP,32,1176460.8227359,1899037.443282,41.8783127,-87.6275342,"(41.8783127, -87.6275342)"
Mercy Housing Lakefront,Shelter Plus Care,Homeless Services,Wentworth Commons,247 S STATE ,247,S,STATE,,,Chicago,IL,60604,3124474532,,42,LOOP,32,1176460.8227359,1899037.443282,41.8783127,-87.6275342,"(41.8783127, -87.6275342)"
Near West Side Community Development Corp,Shelter Plus Care,Homeless Services,Near West Side Community Development Corp.-Doors to Opportunity,1314 S SPAULDING ,1314,S,SPAULDING,,,Chicago,IL,60623,3126339217,,24,NORTH LAWNDALE,29,1154535.6737236,1893666.0963873,41.8640397,-87.7081821,"(41.8640397, -87.7081821)"
New Life Family Services,Interim Housing,Homeless Services,River of Life,1665 N MOZART ,1665,N,MOZART,,,Chicago,IL,60647,7733843304,,1,WEST TOWN,24,1157200.0657221,1911211.9530551,41.9121335,-87.6979243,"(41.9121335, -87.6979243)"
